,year,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house
0,2001,2149.5,2535.8214285714284,0.5357142857142857,649.9642857142857,373.9642857142857,169.89285714285714,835.0,21.714285714285715
1,2006,1906.142857142857,2710.0,1.1785714285714286,495.92857142857144,390.64285714285717,314.9642857142857,1163.2142857142858,9.535714285714286
2,2011,1963.857142857143,3065.8571428571427,0.7142857142857143,517.7142857142857,431.10714285714283,319.64285714285717,1170.6785714285713,15.464285714285714
3,2016,1926.2857142857142,3523.3571428571427,0.6785714285714286,508.57142857142856,439.75,347.0357142857143,1182.6785714285713,20.321428571428573
